DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 7324, 7445.1, 7280.05, 7430.05, 1112990
2024-01-03T00:00:00+05:30, 7444.95, 7485.85, 7368.2, 7384.8, 553405
2024-01-04T00:00:00+05:30, 7560, 7733.95, 7560, 7705.55, 2911879
2024-01-05T00:00:00+05:30, 7734.95, 7789, 7673.1, 7711.15, 1052601
2024-01-08T00:00:00+05:30, 7677, 7830, 7631.3, 7736, 1121209
2024-01-09T00:00:00+05:30, 7774, 7810, 7698, 7725.45, 1247083
2024-01-10T00:00:00+05:30, 7716, 7735.25, 7660, 7680.55, 559072
2024-01-11T00:00:00+05:30, 7680, 7793.3, 7651.05, 7669.75, 651741
2024-01-12T00:00:00+05:30, 7684, 7718.95, 7617, 7661.05, 808638
2024-01-15T00:00:00+05:30, 7697.95, 7697.95, 7454, 7478, 997220
2024-01-16T00:00:00+05:30, 7475, 7614.5, 7427.9, 7456.65, 1194723
2024-01-17T00:00:00+05:30, 7303.3, 7478.2, 7302.2, 7358.85, 1380271
2024-01-18T00:00:00+05:30, 7296, 7351.75, 7234, 7265.55, 1686996
2024-01-19T00:00:00+05:30, 7360, 7388.8, 7261.25, 7319.1, 830810
2024-01-20T00:00:00+05:30, 7327.75, 7386.3, 7291, 7301.3, 219358
2024-01-23T00:00:00+05:30, 7352.9, 7355, 7042.6, 7070.7, 2533297
2024-01-24T00:00:00+05:30, 7104, 7104, 6996.8, 7055.3, 2063675
2024-01-25T00:00:00+05:30, 7055.3, 7125.8, 7036, 7085.5, 1168349
2024-01-29T00:00:00+05:30, 7085.5, 7224.95, 7085.1, 7191.65, 1860361
2024-01-30T00:00:00+05:30, 6988.5, 6988.5, 6805, 6817.2, 4153147
2024-01-31T00:00:00+05:30, 6820, 6921, 6812, 6862.9, 1810512
2024-02-02T00:00:00+05:30, 6755, 6910, 6753, 6848.3, 1367508
2024-02-05T00:00:00+05:30, 6894, 6895, 6600, 6608.2, 1771222
2024-02-06T00:00:00+05:30, 6648, 6699, 6535, 6598.15, 2439533
2024-02-07T00:00:00+05:30, 6641, 6737.6, 6625.25, 6709.2, 1538237
2024-02-08T00:00:00+05:30, 6731.85, 6737.5, 6536.7, 6575.65, 2193209
2024-02-09T00:00:00+05:30, 6580, 6677.7, 6572, 6654.5, 1209874
2024-02-12T00:00:00+05:30, 6669.45, 6671.85, 6551.5, 6569.15, 544784
2024-02-13T00:00:00+05:30, 6600, 6639, 6553.1, 6603.65, 948014
