DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 603, 605.5, 592.75, 604.35, 613442
2024-01-03T00:00:00+05:30, 606.95, 606.95, 595.15, 598.15, 334537
2024-01-04T00:00:00+05:30, 598.45, 601.3, 591.6, 598.45, 639813
2024-01-05T00:00:00+05:30, 599.15, 603.9, 593.15, 596.35, 465157
2024-01-08T00:00:00+05:30, 595, 596.9, 578.05, 578.85, 581798
2024-01-09T00:00:00+05:30, 583.25, 590, 581.25, 587.9, 655120
2024-01-10T00:00:00+05:30, 587.95, 594.05, 582.65, 592.65, 935943
2024-01-11T00:00:00+05:30, 595.8, 596, 589, 593.65, 355149
2024-01-12T00:00:00+05:30, 593.85, 596.8, 587.5, 595.8, 537422
2024-01-15T00:00:00+05:30, 598.35, 605.8, 596.25, 602.75, 700739
2024-01-16T00:00:00+05:30, 602.75, 607, 598.7, 604.45, 897327
2024-01-17T00:00:00+05:30, 599, 604.85, 591.45, 595.15, 1134435
2024-01-18T00:00:00+05:30, 592.8, 594, 567, 576.35, 1433666
2024-01-19T00:00:00+05:30, 581.55, 585.15, 576.75, 579.35, 978376
2024-01-20T00:00:00+05:30, 582, 584.2, 574, 575.4, 184216
2024-01-23T00:00:00+05:30, 575, 575, 542.55, 547, 1857284
2024-01-24T00:00:00+05:30, 549.9, 563.9, 542.85, 562.55, 1093896
2024-01-25T00:00:00+05:30, 563, 563, 552, 554.7, 1099198
2024-01-29T00:00:00+05:30, 552, 563.9, 551.1, 559.85, 595840
2024-01-30T00:00:00+05:30, 563.2, 566.7, 558.3, 561.8, 592044
2024-01-31T00:00:00+05:30, 562.1, 567.1, 558, 565.15, 554075
2024-02-02T00:00:00+05:30, 568.3, 571, 561.45, 569.55, 996264
2024-02-05T00:00:00+05:30, 574, 574.9, 564.6, 567.1, 732928
2024-02-06T00:00:00+05:30, 567.1, 567.1, 553.85, 555.8, 1071673
2024-02-07T00:00:00+05:30, 569, 578.25, 552, 555.8, 4449337
2024-02-08T00:00:00+05:30, 555.8, 559.5, 546.7, 549, 1033571
2024-02-09T00:00:00+05:30, 551.85, 556.75, 543.45, 554, 1075063
2024-02-12T00:00:00+05:30, 553.95, 555.3, 545.45, 551, 813053
2024-02-13T00:00:00+05:30, 551.8, 559.9, 546.55, 558.5, 596957
2024-02-14T00:00:00+05:30, 556.55, 561.65, 546.65, 560.85, 850727
2024-02-15T00:00:00+05:30, 562.9, 562.9, 552, 553.4, 488382
2024-02-16T00:00:00+05:30, 554, 564.35, 554, 562.9, 725200
2024-02-19T00:00:00+05:30, 564.5, 564.5, 555.35, 556.9, 327372
2024-02-20T00:00:00+05:30, 559, 565, 553.1, 563.35, 720241
2024-02-21T00:00:00+05:30, 565, 575.85, 561.5, 572.25, 1097088
2024-02-22T00:00:00+05:30, 573, 573.5, 559.05, 571.65, 1075229
2024-02-23T00:00:00+05:30, 571.95, 572.85, 562.05, 571.9, 877319
2024-02-26T00:00:00+05:30, 562, 570.95, 555, 566.45, 1111006
2024-02-27T00:00:00+05:30, 563.05, 568.7, 556.25, 562.9, 1046795
2024-02-28T00:00:00+05:30, 562, 567.5, 555.1, 564.2, 1083775
2024-02-29T00:00:00+05:30, 558.05, 620.6, 556, 606.7, 8044840
2024-03-02T00:00:00+05:30, 588.85, 603.8, 585.05, 593.15, 187004
2024-03-04T00:00:00+05:30, 594.65, 594.65, 574.35, 578.9, 1121932
2024-03-05T00:00:00+05:30, 575.5, 581.75, 570, 576.3, 718291
2024-03-06T00:00:00+05:30, 575.1, 585, 567.15, 577.8, 688953
2024-03-07T00:00:00+05:30, 576.95, 583.55, 570.05, 573.4, 928556
2024-03-11T00:00:00+05:30, 573.4, 583.9, 569, 576.35, 792829
2024-03-12T00:00:00+05:30, 574.15, 576.3, 562.25, 563.85, 513030
2024-03-13T00:00:00+05:30, 566.75, 570.15, 553.25, 556.75, 785395
2024-03-14T00:00:00+05:30, 554.1, 567.5, 549.05, 565.25, 461038
2024-03-15T00:00:00+05:30, 563.95, 567.5, 556, 557.8, 710688
2024-03-18T00:00:00+05:30, 557.8, 557.8, 552.4, 555.25, 485247
2024-03-19T00:00:00+05:30, 552.1, 552.5, 542.25, 550, 849823
2024-03-20T00:00:00+05:30, 547.05, 554.35, 543, 548.7, 605119
2024-03-21T00:00:00+05:30, 549.2, 556.85, 549.05, 555.55, 915142
2024-03-22T00:00:00+05:30, 552, 559.9, 552, 558.35, 394757
2024-03-26T00:00:00+05:30, 555.35, 561.95, 554, 558.2, 634752
2024-03-27T00:00:00+05:30, 558.2, 570, 557.35, 567.2, 844130
2024-03-28T00:00:00+05:30, 564, 586, 561, 573.05, 1546078
2024-04-02T00:00:00+05:30, 566.45, 574, 563.25, 571.7, 373873
2024-04-03T00:00:00+05:30, 569.5, 570.4, 560.05, 561.05, 602966
2024-04-04T00:00:00+05:30, 564.9, 565.25, 555.1, 558.65, 792921
2024-04-05T00:00:00+05:30, 555.65, 563.35, 555, 562.15, 328980
2024-04-08T00:00:00+05:30, 562.15, 564.55, 557, 560, 320033
2024-04-09T00:00:00+05:30, 560, 564.45, 555, 555.75, 350549
2024-04-10T00:00:00+05:30, 559, 562.7, 555.1, 561.7, 310094
2024-04-12T00:00:00+05:30, 561.7, 563, 555.4, 556.75, 326402
2024-04-15T00:00:00+05:30, 548.1, 552.55, 543, 545.95, 439357
2024-04-16T00:00:00+05:30, 542, 547.35, 529.85, 531.2, 858385
2024-04-18T00:00:00+05:30, 532.05, 537, 513.7, 515.9, 1385210
2024-04-19T00:00:00+05:30, 515, 515, 500.7, 504.55, 1587104
2024-04-22T00:00:00+05:30, 510, 516, 501.55, 506.5, 1908717
2024-04-23T00:00:00+05:30, 511.5, 511.5, 502, 506.35, 1297766
2024-04-24T00:00:00+05:30, 509.8, 510, 505.95, 506.7, 598336
2024-04-25T00:00:00+05:30, 507, 509.75, 503.6, 505.7, 785265
2024-04-26T00:00:00+05:30, 504, 509.45, 502, 503.1, 691473
2024-04-29T00:00:00+05:30, 507.8, 507.8, 503.05, 504.35, 454281
