DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 703.7, 706.3, 682, 687.4, 2436418
2024-01-03T00:00:00+05:30, 686.95, 690.4, 670.4, 685.75, 3079989
2024-01-04T00:00:00+05:30, 689, 701.5, 686.15, 687.5, 2220674
2024-01-05T00:00:00+05:30, 692.9, 717.2, 689.6, 714.35, 5019317
2024-01-08T00:00:00+05:30, 720, 722.7, 708, 710.3, 2134893
2024-01-09T00:00:00+05:30, 717.1, 730.9, 716, 719.75, 2683538
2024-01-10T00:00:00+05:30, 720.75, 741.6, 719.05, 739.55, 3695731
2024-01-11T00:00:00+05:30, 745, 760, 741.6, 747, 2891950
2024-01-12T00:00:00+05:30, 757.85, 789.9, 757.25, 786.7, 5713008
2024-01-15T00:00:00+05:30, 798, 804.8, 777.05, 786.25, 2923562
2024-01-16T00:00:00+05:30, 786, 787, 760.45, 780.65, 1549767
2024-01-17T00:00:00+05:30, 765, 806, 765, 798.45, 2816486
2024-01-18T00:00:00+05:30, 797, 799.5, 765.05, 777.85, 2189268
2024-01-19T00:00:00+05:30, 789, 808, 785, 799.15, 2195289
2024-01-20T00:00:00+05:30, 805.9, 812.8, 795, 804, 1078633
2024-01-23T00:00:00+05:30, 809.75, 817.9, 793.45, 800.75, 1862109
2024-01-24T00:00:00+05:30, 801.6, 827.7, 793.85, 822.7, 2691584
2024-01-25T00:00:00+05:30, 835.9, 841.55, 808.4, 818.25, 3452703
2024-01-29T00:00:00+05:30, 825.05, 835.7, 821.1, 832.6, 2154245
2024-01-30T00:00:00+05:30, 837.9, 858.75, 836.2, 845.25, 2399686
2024-01-31T00:00:00+05:30, 844, 854.6, 840.1, 848.45, 1361383
2024-02-02T00:00:00+05:30, 838.25, 850.75, 838.2, 846.25, 1239815
2024-02-05T00:00:00+05:30, 846.3, 851, 831.1, 834.15, 1162903
2024-02-06T00:00:00+05:30, 840.2, 861.85, 836.3, 853.4, 2122369
2024-02-07T00:00:00+05:30, 857, 859.4, 826.25, 833.2, 1508432
2024-02-08T00:00:00+05:30, 838.1, 846.35, 833.25, 837.9, 736555
2024-02-09T00:00:00+05:30, 845, 849.3, 817.1, 833.4, 1606503
2024-02-12T00:00:00+05:30, 816.5, 844, 816.5, 824.45, 1401828
2024-02-13T00:00:00+05:30, 823, 845.6, 801.7, 843.15, 1789205
2024-02-14T00:00:00+05:30, 834, 839, 814.1, 833.75, 1091416
2024-02-15T00:00:00+05:30, 840, 856, 832.95, 844.25, 1128765
2024-02-16T00:00:00+05:30, 846.05, 852.45, 834.25, 842.6, 997886
2024-02-19T00:00:00+05:30, 845, 845, 828.85, 831.2, 684258
2024-02-20T00:00:00+05:30, 830, 831.5, 801.4, 806.45, 1653400
2024-02-21T00:00:00+05:30, 808.25, 818.35, 791.25, 796.4, 1464276
2024-02-22T00:00:00+05:30, 799.95, 822.85, 799.3, 817.6, 2185607
2024-02-23T00:00:00+05:30, 827.6, 836, 807.25, 810.15, 2379477
2024-02-26T00:00:00+05:30, 809.85, 812.45, 776, 779.05, 2502443
2024-02-27T00:00:00+05:30, 781, 800, 775.95, 798.2, 1909443
2024-02-28T00:00:00+05:30, 802, 807.55, 762.3, 767.45, 1508353
2024-02-29T00:00:00+05:30, 764.15, 787, 757.45, 776.1, 2292534
2024-03-02T00:00:00+05:30, 780, 794.75, 779.8, 787.25, 134586
2024-03-04T00:00:00+05:30, 788.8, 794, 782.25, 783.65, 952162
2024-03-05T00:00:00+05:30, 780.95, 780.95, 753.55, 758.95, 1729577
2024-03-06T00:00:00+05:30, 757, 772, 738.7, 769.1, 1687647
2024-03-07T00:00:00+05:30, 773.5, 778.55, 765.35, 772.6, 1366724
2024-03-11T00:00:00+05:30, 765, 782.7, 756.75, 774.6, 1317040
2024-03-12T00:00:00+05:30, 775, 791, 756.15, 760.4, 1812995
2024-03-13T00:00:00+05:30, 765.4, 785.45, 717.5, 723.3, 3411153
2024-03-14T00:00:00+05:30, 719.1, 766.15, 715, 763.7, 1904372
2024-03-15T00:00:00+05:30, 759, 760.5, 735.05, 755.7, 1372116
2024-03-18T00:00:00+05:30, 751, 754.6, 725, 727.15, 1237226
2024-03-19T00:00:00+05:30, 724.85, 732.4, 713.6, 720.95, 991546
2024-03-20T00:00:00+05:30, 722, 734, 712.45, 717.9, 978451
2024-03-21T00:00:00+05:30, 725.45, 740.4, 723, 738.95, 985126
2024-03-22T00:00:00+05:30, 725.05, 738.95, 713.1, 730.9, 2154342
2024-03-26T00:00:00+05:30, 730.9, 748.7, 730, 744.9, 1020997
2024-03-27T00:00:00+05:30, 748.85, 767.85, 746, 760.45, 1555331
2024-03-28T00:00:00+05:30, 765, 769, 739.8, 742, 1502553
2024-04-02T00:00:00+05:30, 759, 774.55, 756, 767.75, 979511
2024-04-03T00:00:00+05:30, 767.75, 784, 758.15, 777.05, 1717444
2024-04-04T00:00:00+05:30, 789.9, 789.9, 769.05, 779.3, 1174035
2024-04-05T00:00:00+05:30, 779, 779, 745, 749.15, 2129193
2024-04-08T00:00:00+05:30, 756, 756, 725.8, 732, 1920143
2024-04-09T00:00:00+05:30, 732, 747.8, 726.1, 728.7, 1678670
2024-04-10T00:00:00+05:30, 731, 744.65, 730, 738.8, 1077352
2024-04-12T00:00:00+05:30, 737.05, 750.8, 730.85, 732.3, 1412111
2024-04-15T00:00:00+05:30, 725, 729.5, 706.1, 707.25, 1211186
2024-04-16T00:00:00+05:30, 701.05, 712.9, 695.25, 708.1, 1450885
2024-04-18T00:00:00+05:30, 711, 720.5, 695, 698.4, 1730243
