DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 6210, 6217.4, 6001, 6038.3, 315763
2024-01-03T00:00:00+05:30, 6049.4, 6050, 5841.55, 5928.2, 400286
2024-01-04T00:00:00+05:30, 5945, 6037, 5911.6, 5954.05, 210040
2024-01-05T00:00:00+05:30, 5954.1, 6148.85, 5954.1, 6080, 498803
2024-01-08T00:00:00+05:30, 6134.95, 6135, 6009, 6055, 331217
2024-01-09T00:00:00+05:30, 6190, 6274.6, 6052.8, 6067.85, 423485
2024-01-10T00:00:00+05:30, 6087.7, 6173.45, 6039.05, 6152.25, 208245
2024-01-11T00:00:00+05:30, 6260, 6340, 6223.45, 6238.1, 431230
2024-01-12T00:00:00+05:30, 6350, 6615, 6338, 6592.7, 1252771
2024-01-15T00:00:00+05:30, 6699.9, 6789, 6582.7, 6614.05, 731362
2024-01-16T00:00:00+05:30, 6660, 6660, 6511.95, 6597, 263369
2024-01-17T00:00:00+05:30, 6495.1, 6662, 6482, 6626.95, 299390
2024-01-18T00:00:00+05:30, 6595.45, 6602.45, 6263.05, 6486.6, 541380
2024-01-19T00:00:00+05:30, 6529.9, 6548.9, 6372, 6415.35, 400947
2024-01-20T00:00:00+05:30, 6474.95, 6513.95, 6264.2, 6283.4, 191502
2024-01-23T00:00:00+05:30, 6398, 6417.4, 6167.2, 6223, 689002
2024-01-24T00:00:00+05:30, 6223, 6422.9, 6161, 6369.2, 345532
2024-01-25T00:00:00+05:30, 6440, 6440, 6185.05, 6205.05, 392096
2024-01-29T00:00:00+05:30, 6222.2, 6324, 6200.25, 6254.75, 423776
2024-01-30T00:00:00+05:30, 6300, 6423.2, 6229.5, 6244.8, 546835
2024-01-31T00:00:00+05:30, 6253.95, 6330, 6238.05, 6250.1, 337292
2024-02-02T00:00:00+05:30, 6245, 6469, 6227.65, 6425.35, 518712
2024-02-05T00:00:00+05:30, 6479.95, 6479.95, 6350, 6366.3, 430785
2024-02-06T00:00:00+05:30, 6421, 6571, 6373, 6560.8, 434992
2024-02-07T00:00:00+05:30, 6645, 6645, 6512, 6583.5, 237786
2024-02-08T00:00:00+05:30, 6629.95, 6666, 6568.8, 6608.35, 163963
2024-02-09T00:00:00+05:30, 6641.95, 6642, 6471, 6500.75, 182879
2024-02-12T00:00:00+05:30, 6549.9, 6733.7, 6501.5, 6666.2, 881053
2024-02-13T00:00:00+05:30, 6692.9, 6753.8, 6582, 6661.9, 356627
2024-02-14T00:00:00+05:30, 6550, 6614.1, 6395, 6472.15, 335871
2024-02-15T00:00:00+05:30, 6590, 6664, 6511.1, 6644.8, 171082
2024-02-16T00:00:00+05:30, 6679.95, 6690, 6525.9, 6665.4, 319668
2024-02-19T00:00:00+05:30, 6700, 6847.45, 6572, 6754.9, 370439
2024-02-20T00:00:00+05:30, 6754.65, 6805, 6583.35, 6653.45, 285213
2024-02-21T00:00:00+05:30, 6700, 6704.9, 6500, 6546, 303362
2024-02-22T00:00:00+05:30, 6585, 6677.05, 6532.3, 6617.7, 198579
2024-02-23T00:00:00+05:30, 6675, 6722.95, 6590.15, 6606, 196052
2024-02-26T00:00:00+05:30, 6599, 6679.75, 6484.35, 6593.4, 755379
2024-02-27T00:00:00+05:30, 6585, 6648.6, 6525, 6561.55, 112860
2024-02-28T00:00:00+05:30, 6569, 6591, 6420.25, 6464.65, 192687
2024-02-29T00:00:00+05:30, 6470, 6580, 6390, 6554.05, 202478
2024-03-02T00:00:00+05:30, 6548.85, 6580, 6449.5, 6505.15, 29261
2024-03-04T00:00:00+05:30, 6525, 6537.9, 6406, 6442.7, 446281
2024-03-05T00:00:00+05:30, 6425, 6446, 6286, 6316.45, 265245
2024-03-06T00:00:00+05:30, 6305, 6368.1, 6113.7, 6323.3, 429399
2024-03-07T00:00:00+05:30, 6359.95, 6378.45, 6236.6, 6253.7, 233446
2024-03-11T00:00:00+05:30, 6280, 6302.7, 6173, 6247.65, 486927
2024-03-12T00:00:00+05:30, 6261.95, 6346.6, 6188.05, 6263.65, 277022
2024-03-13T00:00:00+05:30, 6319.95, 6325.35, 6120, 6173.6, 364200
2024-03-14T00:00:00+05:30, 6145, 6151.2, 5900, 6087.6, 439378
2024-03-15T00:00:00+05:30, 6078, 6137.35, 6008.3, 6116.4, 210374
2024-03-18T00:00:00+05:30, 6045.15, 6045.15, 5665.1, 5697.15, 1433639
2024-03-19T00:00:00+05:30, 5705, 5746, 5537, 5557.55, 594997
2024-03-20T00:00:00+05:30, 5575, 5625, 5475.5, 5529.75, 334922
2024-03-21T00:00:00+05:30, 5590, 5729.1, 5581, 5706.75, 592395
2024-03-22T00:00:00+05:30, 5601.15, 5639.3, 5462.15, 5540.1, 1055867
2024-03-26T00:00:00+05:30, 5546.5, 5580, 5527, 5547.3, 206027
2024-03-27T00:00:00+05:30, 5546.6, 5631.6, 5530.85, 5549.25, 248089
2024-03-28T00:00:00+05:30, 5569, 5594, 5485, 5502.45, 262188
2024-04-02T00:00:00+05:30, 5517, 5572.45, 5493.25, 5556.25, 182235
2024-04-03T00:00:00+05:30, 5550, 5704.5, 5515.25, 5662.6, 700786
2024-04-04T00:00:00+05:30, 5840, 5898.85, 5750.75, 5819.45, 647624
2024-04-05T00:00:00+05:30, 5840.4, 5841.85, 5744.25, 5782.9, 222769
2024-04-08T00:00:00+05:30, 5825, 5825, 5602.4, 5682.2, 391144
2024-04-09T00:00:00+05:30, 5721, 5776.45, 5686.4, 5711.65, 306416
2024-04-10T00:00:00+05:30, 5721, 5734.65, 5667.55, 5702.45, 144670
