DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 6465.5, 6483.4, 6243.15, 6316.5, 604541
2024-01-03T00:00:00+05:30, 6316.6, 6411, 6269, 6350.7, 241046
2024-01-04T00:00:00+05:30, 6379, 6447.45, 6365.65, 6396.55, 244040
2024-01-05T00:00:00+05:30, 6396.55, 6459, 6364.3, 6378.4, 246494
2024-01-08T00:00:00+05:30, 6399.85, 6399.85, 6303, 6325.45, 136870
2024-01-09T00:00:00+05:30, 6372.95, 6450, 6341.7, 6356.7, 206103
2024-01-10T00:00:00+05:30, 6350, 6395, 6280, 6326.95, 185762
2024-01-11T00:00:00+05:30, 6369.95, 6508, 6338.55, 6488.65, 406115
2024-01-12T00:00:00+05:30, 6500, 6600, 6480, 6553.95, 415988
2024-01-15T00:00:00+05:30, 6480, 6519.45, 6305, 6331.6, 639402
2024-01-16T00:00:00+05:30, 6339.9, 6418, 6309.35, 6343.6, 256623
2024-01-17T00:00:00+05:30, 6290, 6398, 6219.5, 6367.7, 203515
2024-01-18T00:00:00+05:30, 6371, 6375, 6054.1, 6303.1, 326794
2024-01-19T00:00:00+05:30, 6198, 6211.9, 6020, 6100.2, 894287
2024-01-20T00:00:00+05:30, 6121, 6175, 6005, 6019.2, 193637
2024-01-23T00:00:00+05:30, 6025.05, 6102.15, 5819.3, 5853.85, 350766
2024-01-24T00:00:00+05:30, 5911.95, 5975, 5782.85, 5920.1, 323198
2024-01-25T00:00:00+05:30, 5966, 5966, 5794.2, 5879.45, 296056
2024-01-29T00:00:00+05:30, 5898, 5921.2, 5842.1, 5871.65, 214390
2024-01-30T00:00:00+05:30, 5910, 5981.3, 5852, 5862.95, 203956
2024-01-31T00:00:00+05:30, 5865, 6018.4, 5800.2, 5991.1, 588652
2024-02-02T00:00:00+05:30, 6189.95, 6284.8, 6090, 6237.8, 430426
2024-02-05T00:00:00+05:30, 6251, 6462.2, 6244, 6259.6, 483413
2024-02-06T00:00:00+05:30, 6300, 6408, 6260.4, 6358.55, 316205
2024-02-07T00:00:00+05:30, 6390, 6414.5, 6282.75, 6308.85, 167852
2024-02-08T00:00:00+05:30, 6345, 6373.9, 6206.35, 6223.95, 176758
2024-02-09T00:00:00+05:30, 6249.95, 6290.2, 6125.4, 6277.9, 154552
2024-02-12T00:00:00+05:30, 6295, 6321.1, 6202.9, 6269.2, 169271
2024-02-13T00:00:00+05:30, 6244.05, 6316.9, 6131, 6295.7, 168955
2024-02-14T00:00:00+05:30, 6202, 6360, 6200, 6339.95, 151149
2024-02-15T00:00:00+05:30, 6380, 6472, 6332, 6360.05, 241622
2024-02-16T00:00:00+05:30, 6390, 6429, 6331.9, 6378.1, 130359
2024-02-19T00:00:00+05:30, 6425.2, 6810, 6410, 6743.85, 1101152
2024-02-20T00:00:00+05:30, 6790, 6929, 6666, 6706.5, 792746
2024-02-21T00:00:00+05:30, 6725, 6831, 6705, 6734, 335010
2024-02-22T00:00:00+05:30, 6750, 6869.95, 6712.65, 6776.95, 273519
2024-02-23T00:00:00+05:30, 6813.9, 6926.7, 6730.05, 6867.5, 273873
2024-02-26T00:00:00+05:30, 6901.6, 7048, 6880.75, 6945.25, 640553
2024-02-27T00:00:00+05:30, 6740, 6887.95, 6620, 6761.25, 863651
2024-02-28T00:00:00+05:30, 6731.05, 6819.1, 6521.25, 6542.65, 457909
