DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 2829.9, 2838.75, 2748.45, 2791.8, 1047639
2024-01-03T00:00:00+05:30, 2763, 2886.55, 2763, 2870, 2164728
2024-01-04T00:00:00+05:30, 2876, 2918, 2865.35, 2904.25, 1740167
2024-01-05T00:00:00+05:30, 2980, 3079, 2965.1, 2998.85, 5560237
2024-01-08T00:00:00+05:30, 3017, 3034.95, 2985, 2995.6, 1682520
2024-01-09T00:00:00+05:30, 3020, 3074.8, 3001, 3010.25, 1979028
2024-01-10T00:00:00+05:30, 3017.1, 3025.5, 2978.15, 3017.3, 1248563
2024-01-11T00:00:00+05:30, 3029.9, 3042.85, 3013, 3020.45, 723628
2024-01-12T00:00:00+05:30, 3030, 3030, 2991, 3001.95, 867631
2024-01-15T00:00:00+05:30, 3016, 3039.2, 2985, 3030.55, 1135342
2024-01-16T00:00:00+05:30, 3054, 3064.45, 2941.75, 2993.55, 2214293
2024-01-17T00:00:00+05:30, 2980, 3008.1, 2931.8, 2958.3, 1643170
2024-01-18T00:00:00+05:30, 2957.5, 2981, 2845.7, 2967.6, 2066487
2024-01-19T00:00:00+05:30, 2985, 3032, 2982.2, 3028.15, 1203346
2024-01-20T00:00:00+05:30, 3038.75, 3038.75, 2990.55, 3005.35, 531714
2024-01-23T00:00:00+05:30, 3007, 3022, 2847.25, 2890.5, 1628038
2024-01-24T00:00:00+05:30, 2889.95, 2941.95, 2820, 2931.45, 1330866
2024-01-25T00:00:00+05:30, 2940, 2958.3, 2875, 2903.8, 1309130
2024-01-29T00:00:00+05:30, 2910, 2985, 2903.9, 2976.95, 1213259
2024-01-30T00:00:00+05:30, 2991.75, 3065, 2986.05, 3012.55, 1853804
2024-01-31T00:00:00+05:30, 3015, 3018.5, 2981.85, 2999.4, 1074596
2024-02-02T00:00:00+05:30, 3012, 3047.95, 2965.35, 2970.7, 1256014
2024-02-05T00:00:00+05:30, 2980, 3005, 2912.7, 2932.5, 936558
2024-02-06T00:00:00+05:30, 2936.95, 2969, 2907.05, 2958.45, 1421958
2024-02-07T00:00:00+05:30, 2964.9, 2978, 2922, 2949.75, 893201
2024-02-08T00:00:00+05:30, 2963, 3132, 2956.05, 3097.2, 4475010
2024-02-09T00:00:00+05:30, 3127, 3127, 2920, 2965.35, 3176427
2024-02-12T00:00:00+05:30, 2975, 2987.05, 2828, 2846.05, 2890465
2024-02-13T00:00:00+05:30, 2861.8, 2933, 2824.85, 2922.6, 1805862
2024-02-14T00:00:00+05:30, 2887, 2966.4, 2855.3, 2957.1, 1112043
2024-02-15T00:00:00+05:30, 2990, 3034, 2983.15, 3023.2, 1788864
2024-02-16T00:00:00+05:30, 3044, 3105, 3035.2, 3078.8, 2732655
2024-02-19T00:00:00+05:30, 3099.95, 3113.9, 3016.85, 3021.75, 1615343
2024-02-20T00:00:00+05:30, 3018.8, 3018.8, 2971, 2995.3, 979624
2024-02-21T00:00:00+05:30, 2997.95, 3025, 2935.1, 2948.05, 1281770
2024-02-22T00:00:00+05:30, 2959, 3010, 2940, 3005.65, 919890
2024-02-23T00:00:00+05:30, 3006, 3065.5, 3006, 3045.5, 1388116
2024-02-26T00:00:00+05:30, 3045.45, 3075, 3013.7, 3049.75, 849178
