DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 610.4, 620, 607.4, 617, 4975013
2024-01-03T00:00:00+05:30, 608.25, 611.4, 592, 593.05, 7226455
2024-01-04T00:00:00+05:30, 594, 595.85, 587.65, 590.5, 6592370
2024-01-05T00:00:00+05:30, 590.6, 597.6, 581.55, 587, 2990123
2024-01-08T00:00:00+05:30, 587, 592.5, 576.45, 577.65, 4425767
2024-01-09T00:00:00+05:30, 581.95, 584.9, 573.6, 575.95, 5314029
2024-01-10T00:00:00+05:30, 576, 582, 570.65, 580.05, 2408792
2024-01-11T00:00:00+05:30, 582.95, 587, 575.5, 576.95, 3899383
2024-01-12T00:00:00+05:30, 581, 585.5, 575.75, 582.05, 2440863
2024-01-15T00:00:00+05:30, 585.85, 586, 572.25, 574.65, 3778987
2024-01-16T00:00:00+05:30, 575.95, 584.85, 569.45, 579.55, 5187155
2024-01-17T00:00:00+05:30, 570.95, 572.7, 558.1, 560.25, 6148035
2024-01-18T00:00:00+05:30, 560.25, 561.35, 547.8, 554.9, 3784905
2024-01-19T00:00:00+05:30, 556.5, 561, 554.5, 557.1, 4451789
2024-01-20T00:00:00+05:30, 561, 566.75, 558.35, 561.05, 1502352
2024-01-23T00:00:00+05:30, 558, 561.8, 537.6, 541.4, 7867972
2024-01-24T00:00:00+05:30, 550, 566.8, 547, 565.15, 8619429
2024-01-25T00:00:00+05:30, 566.5, 570, 558.4, 567.2, 5366990
2024-01-29T00:00:00+05:30, 568, 571.95, 562, 567.9, 5126212
2024-01-30T00:00:00+05:30, 569.95, 584.3, 567.25, 569.25, 7968815
2024-01-31T00:00:00+05:30, 569.2, 580.6, 568.25, 579.35, 5644545
2024-02-02T00:00:00+05:30, 577, 589, 573.1, 583.5, 7145858
2024-02-05T00:00:00+05:30, 583.5, 590.9, 576.05, 579.9, 4801118
2024-02-06T00:00:00+05:30, 578.6, 587.75, 569.25, 584.9, 4099573
2024-02-07T00:00:00+05:30, 590.4, 602.15, 584.65, 592.25, 9415146
2024-02-08T00:00:00+05:30, 592, 608.95, 587.85, 601.3, 11844758
2024-02-09T00:00:00+05:30, 601, 602, 576.3, 591.3, 5105348
2024-02-12T00:00:00+05:30, 591.9, 601.8, 579.75, 582.45, 4595403
2024-02-13T00:00:00+05:30, 539, 540, 496.35, 510.1, 46100123
2024-02-14T00:00:00+05:30, 515, 516.9, 503.15, 507.8, 16634538
2024-02-15T00:00:00+05:30, 512.7, 518.5, 507.6, 513.2, 13303658
2024-02-16T00:00:00+05:30, 519.95, 519.95, 510.95, 515.7, 12066565
2024-02-19T00:00:00+05:30, 518.75, 518.9, 511.8, 512.3, 5580597
2024-02-20T00:00:00+05:30, 512.6, 515.9, 507.15, 511.6, 5186970
2024-02-21T00:00:00+05:30, 535, 538, 510, 511.8, 18106978
2024-02-22T00:00:00+05:30, 516.3, 522.15, 514.25, 521.15, 8727844
2024-02-23T00:00:00+05:30, 524.7, 524.8, 517, 518.35, 6445580
2024-02-26T00:00:00+05:30, 519.4, 519.75, 504, 505.05, 7605543
2024-02-27T00:00:00+05:30, 505.5, 512.2, 504.7, 509.65, 6741206
2024-02-28T00:00:00+05:30, 512.5, 514.45, 501.75, 504.4, 4406098
2024-02-29T00:00:00+05:30, 506.5, 508, 499, 503.85, 16860796
2024-03-02T00:00:00+05:30, 523, 524, 518, 522.85, 623929
2024-03-04T00:00:00+05:30, 524, 529.85, 520.05, 524.95, 5989974
2024-03-05T00:00:00+05:30, 524, 528.3, 520.2, 522.1, 5729926
2024-03-06T00:00:00+05:30, 522.05, 527.9, 513.95, 526.95, 4637732
2024-03-07T00:00:00+05:30, 530.8, 540.85, 529.25, 536.7, 7909060
2024-03-11T00:00:00+05:30, 540, 543.25, 532.1, 533.7, 5527908
2024-03-12T00:00:00+05:30, 533.1, 536.85, 525.3, 528.95, 3703670
2024-03-13T00:00:00+05:30, 529.35, 530, 501.2, 507, 5712435
2024-03-14T00:00:00+05:30, 512, 526.35, 507, 525.25, 10349338
2024-03-15T00:00:00+05:30, 522, 534.05, 517.5, 532.55, 8467660
2024-03-18T00:00:00+05:30, 532, 535.55, 527, 531.15, 4282437
2024-03-19T00:00:00+05:30, 532, 539.75, 529.25, 533.65, 7119131
2024-03-20T00:00:00+05:30, 533, 535.5, 516.35, 527.85, 5005234
2024-03-21T00:00:00+05:30, 538.4, 545.75, 534.25, 539.7, 8795679
2024-03-22T00:00:00+05:30, 539.7, 550.65, 537.35, 547.75, 5518261
2024-03-26T00:00:00+05:30, 545.65, 561, 545, 558.65, 7198061
2024-03-27T00:00:00+05:30, 564.2, 564.65, 556.8, 557.65, 5320703
2024-03-28T00:00:00+05:30, 561, 566.65, 555.3, 560.25, 8326754
2024-04-02T00:00:00+05:30, 571, 572.3, 561.55, 571.2, 4626877
2024-04-03T00:00:00+05:30, 570.2, 584.1, 567.15, 576.6, 7514291
2024-04-04T00:00:00+05:30, 590, 590, 568.95, 577.75, 7246259
2024-04-05T00:00:00+05:30, 572.5, 575, 567.6, 570.05, 4884617
2024-04-08T00:00:00+05:30, 572, 579.7, 570.5, 576.8, 3276169
2024-04-09T00:00:00+05:30, 578.1, 595.45, 574, 588.6, 7829711
2024-04-10T00:00:00+05:30, 596.2, 604.9, 591.05, 603.05, 11748104
2024-04-12T00:00:00+05:30, 609.05, 609.05, 595.3, 598.65, 15994496
2024-04-15T00:00:00+05:30, 615, 625.4, 605.7, 612.7, 27067692
2024-04-16T00:00:00+05:30, 612.7, 621.4, 606.8, 608.85, 10722248
2024-04-18T00:00:00+05:30, 616.4, 625, 609.8, 612.8, 9953539
2024-04-19T00:00:00+05:30, 609, 616.3, 600.7, 614.75, 6443897
2024-04-22T00:00:00+05:30, 620.65, 622.45, 612.7, 618.55, 6503652
2024-04-23T00:00:00+05:30, 618.5, 618.75, 610.4, 611.8, 6154126
2024-04-24T00:00:00+05:30, 611.8, 637.65, 608.7, 636.1, 11775700
2024-04-25T00:00:00+05:30, 635.7, 648.25, 628.1, 646.8, 11897458
2024-04-26T00:00:00+05:30, 650.95, 661.6, 643, 649.3, 7545608
2024-04-29T00:00:00+05:30, 654.95, 655.4, 641.2, 650.05, 4157501
2024-04-30T00:00:00+05:30, 653.6, 653.7, 642.3, 644.4, 4771959
2024-05-02T00:00:00+05:30, 635.9, 646.9, 628.65, 641.45, 17929526
2024-05-03T00:00:00+05:30, 655.05, 655.05, 638.4, 647.1, 10633995
2024-05-06T00:00:00+05:30, 650, 655, 629.3, 638.8, 10094421
2024-05-07T00:00:00+05:30, 646.9, 646.9, 611.75, 620.2, 10787196
2024-05-08T00:00:00+05:30, 615.1, 634.45, 615.1, 633.5, 7683352
2024-05-09T00:00:00+05:30, 634, 637.75, 615, 619.4, 6588118
2024-05-10T00:00:00+05:30, 620.1, 629.55, 618, 625.6, 4364788
2024-05-13T00:00:00+05:30, 625.1, 636.15, 614.3, 633.5, 3582386
2024-05-14T00:00:00+05:30, 644.35, 649.5, 638.2, 646.65, 8339846
2024-05-15T00:00:00+05:30, 653, 659, 648.7, 653.7, 6764257
2024-05-16T00:00:00+05:30, 660, 666, 643.25, 653.35, 8781056
2024-05-17T00:00:00+05:30, 653, 658.8, 650.4, 655.45, 5026205
2024-05-18T00:00:00+05:30, 662, 662.9, 657.5, 660.35, 466522
2024-05-21T00:00:00+05:30, 666.3, 695.4, 663.2, 693.6, 15976672
2024-05-22T00:00:00+05:30, 698.55, 698.7, 677.4, 684.55, 8004434
2024-05-23T00:00:00+05:30, 675.15, 678.55, 665.95, 676.8, 9749101
2024-05-24T00:00:00+05:30, 679.25, 690.45, 671.05, 673.25, 15930052
2024-05-27T00:00:00+05:30, 685.05, 689.5, 675.5, 677.85, 10475785
2024-05-28T00:00:00+05:30, 682, 698, 678.35, 681.3, 12925385
2024-05-29T00:00:00+05:30, 695, 713.5, 682.3, 705.3, 22684652
2024-05-30T00:00:00+05:30, 704.85, 713.05, 693.35, 695.15, 10361716
2024-05-31T00:00:00+05:30, 698.9, 703.45, 684.35, 689.35, 13620282
2024-06-03T00:00:00+05:30, 715, 715.25, 692.8, 695.95, 7081956
2024-06-04T00:00:00+05:30, 697, 697, 594.25, 649.05, 24250212
2024-06-05T00:00:00+05:30, 627, 700.65, 607, 695.25, 25836374
2024-06-06T00:00:00+05:30, 695, 695, 673, 677.5, 10420244
2024-06-07T00:00:00+05:30, 677.5, 687, 672.45, 680.35, 7172942
2024-06-10T00:00:00+05:30, 677.05, 684.85, 673.05, 676.4, 4054802
2024-06-11T00:00:00+05:30, 680, 681.25, 672.05, 672.95, 5157918
2024-06-12T00:00:00+05:30, 674, 683, 671.85, 673.9, 10783822
2024-06-13T00:00:00+05:30, 678, 684.65, 676.05, 680.7, 9555904
2024-06-14T00:00:00+05:30, 690, 690, 677.4, 683.6, 8326865
2024-06-18T00:00:00+05:30, 683.6, 688, 677, 678.75, 4013739
2024-06-19T00:00:00+05:30, 680.05, 682, 660.4, 662.4, 4770356
2024-06-20T00:00:00+05:30, 665, 684.35, 661.75, 676.5, 6646966
2024-06-21T00:00:00+05:30, 680, 691.2, 677, 684.5, 11973903
2024-06-24T00:00:00+05:30, 679.6, 687.7, 675.1, 685.25, 8014595
2024-06-25T00:00:00+05:30, 688.8, 696, 680.9, 685.5, 5778636
2024-06-26T00:00:00+05:30, 683.55, 683.55, 671.35, 674.7, 6069407
2024-06-27T00:00:00+05:30, 678, 687.7, 672.1, 685.25, 7135387
2024-06-28T00:00:00+05:30, 690.25, 697.5, 686, 693.55, 6101211
2024-07-02T00:00:00+05:30, 689.9, 703.3, 688.4, 694.75, 5482768
2024-07-03T00:00:00+05:30, 698.9, 703, 683.4, 691.65, 5875690
2024-07-04T00:00:00+05:30, 697.7, 705.75, 690.55, 691.85, 5924057
2024-07-05T00:00:00+05:30, 694, 702.5, 693.5, 699.15, 5174673
2024-07-08T00:00:00+05:30, 703.65, 705.9, 691.65, 697.2, 2636146
2024-07-09T00:00:00+05:30, 702, 710.65, 695.55, 707, 5507357
2024-07-10T00:00:00+05:30, 708, 712.1, 685.3, 693.3, 5327276
2024-07-11T00:00:00+05:30, 702, 702, 692, 696.3, 6856272
2024-07-12T00:00:00+05:30, 697.5, 702.45, 686.1, 692.05, 3839953
2024-07-15T00:00:00+05:30, 692.05, 701.6, 688.45, 700.1, 2848268
2024-07-16T00:00:00+05:30, 700.3, 703.15, 689, 690.8, 4570179
2024-07-18T00:00:00+05:30, 686, 695.85, 684.1, 689.95, 7841505
2024-07-19T00:00:00+05:30, 683.9, 685.7, 658.65, 663, 6207375
2024-07-22T00:00:00+05:30, 655, 675, 650.85, 672.3, 3291634
2024-07-23T00:00:00+05:30, 672.3, 673.2, 638.7, 653.5, 9602846
2024-07-24T00:00:00+05:30, 653, 656.65, 645, 651.6, 2610134
2024-07-25T00:00:00+05:30, 641.95, 649, 633.3, 646.55, 6171776
2024-07-26T00:00:00+05:30, 660, 668.5, 655, 667.6, 4730539
2024-07-29T00:00:00+05:30, 676.75, 676.75, 665, 666.85, 6032470
2024-07-30T00:00:00+05:30, 665, 665, 654.6, 660.5, 6714850
2024-07-31T00:00:00+05:30, 667, 674, 664.25, 669.6, 8551592
2024-08-02T00:00:00+05:30, 659.8, 665.6, 646.55, 648.05, 6717210
2024-08-05T00:00:00+05:30, 628.05, 633.85, 609.25, 614.3, 13451475
2024-08-06T00:00:00+05:30, 625, 629, 608, 610.3, 7063441
2024-08-07T00:00:00+05:30, 625, 629.45, 616.75, 623.7, 4839670
2024-08-08T00:00:00+05:30, 625, 631, 613, 614.05, 5396272
2024-08-09T00:00:00+05:30, 622, 626.5, 614.8, 622.9, 3629264
2024-08-12T00:00:00+05:30, 619, 634.4, 616.5, 629.35, 3586449
2024-08-13T00:00:00+05:30, 634.4, 634.4, 619.2, 621.4, 6793767
2024-08-14T00:00:00+05:30, 626.85, 633.95, 611.6, 621.45, 8646288
2024-08-16T00:00:00+05:30, 633.95, 642, 630.2, 634.15, 6566337
2024-08-19T00:00:00+05:30, 636.5, 660.3, 636.5, 658.85, 9510274
2024-08-20T00:00:00+05:30, 663, 674.3, 661.05, 672.9, 10295836
2024-08-21T00:00:00+05:30, 668.9, 696.6, 667.8, 685.6, 7815238
2024-08-22T00:00:00+05:30, 691.5, 692, 677.2, 685.55, 6188728
2024-08-23T00:00:00+05:30, 690.05, 694.7, 677.8, 685.1, 7774920
2024-08-26T00:00:00+05:30, 694.4, 712.9, 689.5, 711.85, 11517668
2024-08-27T00:00:00+05:30, 711.9, 712.95, 702.75, 703.5, 6465241
2024-08-28T00:00:00+05:30, 706, 710.7, 701.15, 705.05, 3599946
2024-08-29T00:00:00+05:30, 697.65, 702.35, 691.4, 700.5, 5728640
2024-08-30T00:00:00+05:30, 699, 708.5, 695.1, 701.35, 7404373
2024-09-02T00:00:00+05:30, 706.7, 706.7, 683.2, 683.9, 6186645
2024-09-03T00:00:00+05:30, 687.65, 692.7, 677.55, 678.9, 4457291
2024-09-04T00:00:00+05:30, 666.65, 673.8, 661.25, 666.8, 5816848
2024-09-05T00:00:00+05:30, 670, 672.4, 667.25, 669.95, 3749608
2024-09-06T00:00:00+05:30, 668.25, 677, 665.45, 667.1, 6311131
2024-09-09T00:00:00+05:30, 664, 664, 651, 658.55, 5144488
