DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 395, 395.25, 382.75, 389.65, 11799148
2024-01-03T00:00:00+05:30, 389, 401.3, 385, 393.1, 13107047
2024-01-04T00:00:00+05:30, 397.8, 409, 397.1, 405.75, 19291259
2024-01-05T00:00:00+05:30, 407.7, 408.35, 398.1, 404, 7735119
2024-01-08T00:00:00+05:30, 405.8, 412.7, 401.4, 405.75, 8020666
2024-01-09T00:00:00+05:30, 409.4, 411.8, 391.05, 393.8, 12629573
2024-01-10T00:00:00+05:30, 396, 396, 380.8, 390.5, 12513678
2024-01-11T00:00:00+05:30, 392.5, 402.2, 391.65, 395.5, 8305839
2024-01-12T00:00:00+05:30, 397, 402.75, 393.1, 401.8, 8217329
2024-01-15T00:00:00+05:30, 403, 412.35, 399.55, 409.5, 10263830
2024-01-16T00:00:00+05:30, 409.8, 413.95, 394.7, 400.45, 11079183
2024-01-17T00:00:00+05:30, 395, 402.45, 390, 392.55, 8845319
2024-01-18T00:00:00+05:30, 393.05, 396.5, 379.2, 392.7, 11680203
2024-01-19T00:00:00+05:30, 397, 413.6, 396.15, 412.35, 16111152
2024-01-20T00:00:00+05:30, 415, 425.3, 413.7, 418.9, 16664726
2024-01-23T00:00:00+05:30, 430, 430.3, 382.5, 395.55, 28172910
2024-01-24T00:00:00+05:30, 399, 422.95, 390.05, 421.75, 26232960
2024-01-25T00:00:00+05:30, 424.95, 425.65, 414.15, 419, 12426317
2024-01-29T00:00:00+05:30, 422.95, 448.45, 421.6, 446.75, 38320305
2024-01-30T00:00:00+05:30, 450, 453.7, 440.75, 444.9, 18743455
2024-01-31T00:00:00+05:30, 442.3, 445.3, 437.1, 443.25, 12612238
2024-02-02T00:00:00+05:30, 448.1, 461.5, 448.1, 450.8, 13316207
2024-02-05T00:00:00+05:30, 454.8, 464.5, 447.8, 458.15, 15932526
2024-02-06T00:00:00+05:30, 461.3, 461.3, 445.1, 454, 9403608
2024-02-07T00:00:00+05:30, 451, 469.9, 451, 469, 11983832
