DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 1671.05, 1675, 1647.95, 1667.8, 369868
2024-01-03T00:00:00+05:30, 1672, 1720.6, 1667, 1713.8, 991740
2024-01-04T00:00:00+05:30, 1720, 1720, 1656.4, 1665.05, 1275014
2024-01-05T00:00:00+05:30, 1678.3, 1678.8, 1638, 1649.3, 782358
2024-01-08T00:00:00+05:30, 1655, 1655, 1580, 1582.9, 1208077
2024-01-09T00:00:00+05:30, 1600, 1601, 1556.25, 1562.5, 571241
2024-01-10T00:00:00+05:30, 1560, 1564.35, 1528.6, 1549.2, 1484209
2024-01-11T00:00:00+05:30, 1565.9, 1569, 1520.3, 1526.45, 674293
2024-01-12T00:00:00+05:30, 1537, 1565.5, 1524, 1526.45, 837352
2024-01-15T00:00:00+05:30, 1545, 1545, 1505, 1513.3, 917529
2024-01-16T00:00:00+05:30, 1520, 1525, 1500, 1505.4, 668990
2024-01-17T00:00:00+05:30, 1499.9, 1519.35, 1490, 1509.4, 692102
2024-01-18T00:00:00+05:30, 1509.4, 1510.3, 1455.95, 1480.2, 894586
2024-01-19T00:00:00+05:30, 1494.95, 1543.95, 1490.25, 1507, 866089
2024-01-20T00:00:00+05:30, 1523.5, 1556, 1517.05, 1522.35, 767878
2024-01-23T00:00:00+05:30, 1530, 1533, 1468.65, 1472.85, 557895
2024-01-24T00:00:00+05:30, 1481, 1483.85, 1436.25, 1451.3, 1261416
2024-01-25T00:00:00+05:30, 1456, 1478.2, 1442.2, 1458.75, 874296
2024-01-29T00:00:00+05:30, 1477, 1500.65, 1465, 1490.35, 951120
2024-01-30T00:00:00+05:30, 1494.3, 1496.3, 1459.45, 1461.55, 477765
2024-01-31T00:00:00+05:30, 1474, 1478, 1416.6, 1455, 1673151
2024-02-02T00:00:00+05:30, 1437.35, 1463.35, 1431.7, 1434.5, 368306
2024-02-05T00:00:00+05:30, 1434.5, 1442.2, 1405.1, 1409.5, 576350
2024-02-06T00:00:00+05:30, 1418, 1423.65, 1404.45, 1406.5, 357953
2024-02-07T00:00:00+05:30, 1421, 1423, 1393.45, 1407.05, 743523
2024-02-08T00:00:00+05:30, 1420, 1434.2, 1410.6, 1429.75, 1371606
2024-02-09T00:00:00+05:30, 1440.95, 1440.95, 1384, 1405.4, 751744
2024-02-12T00:00:00+05:30, 1406.95, 1410.9, 1366.25, 1368.7, 644780
2024-02-13T00:00:00+05:30, 1372.95, 1377.15, 1348, 1363.5, 739219
2024-02-14T00:00:00+05:30, 1360, 1378, 1347.3, 1368.75, 415932
2024-02-15T00:00:00+05:30, 1379, 1379, 1358, 1361.85, 378127
2024-02-16T00:00:00+05:30, 1366.85, 1389.2, 1366.85, 1382.45, 360759
2024-02-19T00:00:00+05:30, 1390, 1392.75, 1376.05, 1382.3, 258003
2024-02-20T00:00:00+05:30, 1385, 1387.7, 1371.05, 1375, 263603
2024-02-21T00:00:00+05:30, 1387, 1413.5, 1375, 1382.2, 717807
2024-02-22T00:00:00+05:30, 1390.05, 1390.1, 1370, 1382.8, 347179
2024-02-23T00:00:00+05:30, 1391.8, 1402.05, 1382.8, 1389.2, 323102
2024-02-26T00:00:00+05:30, 1393, 1414.4, 1384, 1406.45, 448431
2024-02-27T00:00:00+05:30, 1407.95, 1414.45, 1388.05, 1399.75, 788664
2024-02-28T00:00:00+05:30, 1409.9, 1415, 1360, 1364.9, 539132
2024-02-29T00:00:00+05:30, 1373.35, 1380, 1351.1, 1371.05, 547779
2024-03-02T00:00:00+05:30, 1400, 1408.4, 1390.15, 1398.15, 49477
2024-03-04T00:00:00+05:30, 1408, 1408.95, 1379.05, 1382.3, 393235
2024-03-05T00:00:00+05:30, 1393.55, 1393.55, 1377.4, 1390.05, 265368
2024-03-06T00:00:00+05:30, 1378.05, 1391.7, 1353.55, 1378.1, 342018
2024-03-07T00:00:00+05:30, 1389.95, 1422.9, 1377.7, 1415.5, 900690
2024-03-11T00:00:00+05:30, 1427, 1427.3, 1374, 1379.85, 698330
2024-03-12T00:00:00+05:30, 1383, 1383, 1342.9, 1352, 585064
2024-03-13T00:00:00+05:30, 1355.55, 1358.1, 1290, 1305, 1207916
2024-03-14T00:00:00+05:30, 1299.05, 1324.45, 1284.1, 1320.3, 468081
2024-03-15T00:00:00+05:30, 1320.3, 1338.95, 1303.6, 1310.1, 309624
2024-03-18T00:00:00+05:30, 1301.1, 1317.1, 1301.1, 1314.3, 457492
2024-03-19T00:00:00+05:30, 1318, 1318, 1274.2, 1277.05, 463519
2024-03-20T00:00:00+05:30, 1284.95, 1285.05, 1247.9, 1272.65, 743226
2024-03-21T00:00:00+05:30, 1289.6, 1322.45, 1282.65, 1320.35, 507762
2024-03-22T00:00:00+05:30, 1315.05, 1337.8, 1312.1, 1329.7, 595348
2024-03-26T00:00:00+05:30, 1320.05, 1333, 1308, 1322.9, 498477
2024-03-27T00:00:00+05:30, 1324.9, 1332.05, 1311.45, 1326.85, 493055
2024-03-28T00:00:00+05:30, 1329, 1333.95, 1320, 1326.25, 543828
2024-04-02T00:00:00+05:30, 1387, 1397.15, 1375.5, 1389.7, 399735
2024-04-03T00:00:00+05:30, 1389.7, 1404.8, 1376.85, 1380.9, 499024
2024-04-04T00:00:00+05:30, 1394, 1396.4, 1378.3, 1387.55, 420812
2024-04-05T00:00:00+05:30, 1387.6, 1387.65, 1362.05, 1375.95, 454849
2024-04-08T00:00:00+05:30, 1389, 1399, 1378.55, 1385.35, 545883
2024-04-09T00:00:00+05:30, 1391, 1391.9, 1370.3, 1384.9, 538637
2024-04-10T00:00:00+05:30, 1395, 1418.65, 1386.35, 1410.65, 550090
2024-04-12T00:00:00+05:30, 1425.05, 1429, 1396.05, 1413.95, 1431542
2024-04-15T00:00:00+05:30, 1400, 1404.95, 1365, 1395.95, 984575
2024-04-16T00:00:00+05:30, 1370, 1416.3, 1370, 1385.05, 632602
2024-04-18T00:00:00+05:30, 1400, 1439.9, 1385.25, 1426.95, 1229229
2024-04-19T00:00:00+05:30, 1420.95, 1434.55, 1400, 1428.6, 919512
2024-04-22T00:00:00+05:30, 1430, 1450.45, 1420.05, 1433.35, 486920
2024-04-23T00:00:00+05:30, 1433, 1437.95, 1412.5, 1420.3, 778335
2024-04-24T00:00:00+05:30, 1424, 1425.45, 1400, 1408.3, 533512
2024-04-25T00:00:00+05:30, 1413.05, 1417.2, 1400, 1409.4, 507165
2024-04-26T00:00:00+05:30, 1415, 1427.95, 1395.1, 1402.85, 732915
2024-04-29T00:00:00+05:30, 1409.8, 1409.8, 1374, 1376.7, 592498
2024-04-30T00:00:00+05:30, 1376.95, 1386.5, 1356.25, 1361.15, 527473
2024-05-02T00:00:00+05:30, 1361.15, 1361.15, 1337, 1340.85, 407186
2024-05-03T00:00:00+05:30, 1348.95, 1349.95, 1313, 1321.2, 424770
2024-05-06T00:00:00+05:30, 1329, 1329, 1297.1, 1320.55, 726638
2024-05-07T00:00:00+05:30, 1324.4, 1324.4, 1293.15, 1307.15, 413386
2024-05-08T00:00:00+05:30, 1307.15, 1328.5, 1297.1, 1324.35, 554009
2024-05-09T00:00:00+05:30, 1325, 1327.4, 1293.65, 1299.85, 647121
2024-05-10T00:00:00+05:30, 1300, 1304.85, 1278.05, 1288.1, 547295
2024-05-13T00:00:00+05:30, 1299.95, 1319.85, 1268.3, 1315.6, 502671
2024-05-14T00:00:00+05:30, 1319, 1336, 1282.05, 1297.45, 1919509
2024-05-15T00:00:00+05:30, 1296.95, 1298.65, 1272.5, 1285.2, 1020100
2024-05-16T00:00:00+05:30, 1297.2, 1328.45, 1287.5, 1322.5, 893505
2024-05-17T00:00:00+05:30, 1322.5, 1334, 1316.05, 1324.95, 454789
2024-05-18T00:00:00+05:30, 1329.9, 1329.9, 1323, 1325.65, 27526
2024-05-21T00:00:00+05:30, 1325.65, 1357.85, 1316.05, 1349.3, 889582
2024-05-22T00:00:00+05:30, 1355, 1355, 1328.8, 1345.2, 357951
2024-05-23T00:00:00+05:30, 1345.45, 1353.45, 1327.65, 1348.9, 324448
2024-05-24T00:00:00+05:30, 1350, 1350, 1333.05, 1339.05, 319498
2024-05-27T00:00:00+05:30, 1350, 1350, 1327, 1339.55, 589964
2024-05-28T00:00:00+05:30, 1350.15, 1353.8, 1318.3, 1333.45, 620821
2024-05-29T00:00:00+05:30, 1335, 1342.9, 1325, 1335.1, 266495
2024-05-30T00:00:00+05:30, 1325, 1335.1, 1302.3, 1312.75, 550735
2024-05-31T00:00:00+05:30, 1315.05, 1329.55, 1305.4, 1309.05, 252546
2024-06-03T00:00:00+05:30, 1343.25, 1343.25, 1318.1, 1328.4, 272069
2024-06-04T00:00:00+05:30, 1328.05, 1328.05, 1204.2, 1270.45, 683741
2024-06-05T00:00:00+05:30, 1286.5, 1330.4, 1280, 1320.8, 376325
2024-06-06T00:00:00+05:30, 1330.55, 1340, 1320.65, 1337.5, 283780
2024-06-07T00:00:00+05:30, 1337, 1355, 1329.3, 1338.35, 314798
2024-06-10T00:00:00+05:30, 1338.4, 1367.75, 1332.2, 1346.3, 501819
2024-06-11T00:00:00+05:30, 1354.9, 1384.95, 1348.05, 1381.45, 999571
2024-06-12T00:00:00+05:30, 1390, 1405.95, 1385.05, 1397.75, 1111153
2024-06-13T00:00:00+05:30, 1402, 1406.85, 1367.55, 1391.65, 548452
2024-06-14T00:00:00+05:30, 1400, 1400.25, 1382.2, 1390.3, 373526
2024-06-18T00:00:00+05:30, 1401, 1404.95, 1387.35, 1403.25, 324413
