DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 3811.1, 3811.1, 3767.25, 3783.2, 1344068
2024-01-03T00:00:00+05:30, 3767, 3771.85, 3687.05, 3691.75, 1803075
2024-01-04T00:00:00+05:30, 3701.75, 3719, 3651, 3666.8, 3598144
2024-01-05T00:00:00+05:30, 3675, 3747.75, 3674.85, 3737.9, 1963127
2024-01-08T00:00:00+05:30, 3737.9, 3739.75, 3672.4, 3678.3, 1067805
2024-01-09T00:00:00+05:30, 3709.95, 3752.35, 3682.75, 3689.9, 1370944
2024-01-10T00:00:00+05:30, 3690, 3729.25, 3688, 3713.05, 1292227
2024-01-11T00:00:00+05:30, 3724, 3773, 3707, 3735.55, 1777909
2024-01-12T00:00:00+05:30, 3848, 3905.25, 3821.6, 3882.8, 6813450
2024-01-15T00:00:00+05:30, 3960, 3965, 3885, 3903.8, 2801505
2024-01-16T00:00:00+05:30, 3899, 3899, 3855.55, 3861.3, 1432672
2024-01-17T00:00:00+05:30, 3819, 3909.95, 3812.55, 3884.6, 3458696
2024-01-18T00:00:00+05:30, 3898, 3908.8, 3862, 3902.6, 2239110
2024-01-19T00:00:00+05:30, 3945, 3963.55, 3915.05, 3943.05, 2941975
2024-01-20T00:00:00+05:30, 3948, 3955.65, 3855.55, 3860.65, 516477
2024-01-23T00:00:00+05:30, 3900, 3933.9, 3842.75, 3858.25, 2618854
2024-01-24T00:00:00+05:30, 3880, 3883.65, 3805.6, 3841.8, 2657709
2024-01-25T00:00:00+05:30, 3839.9, 3861, 3778.7, 3810.3, 2205154
2024-01-29T00:00:00+05:30, 3800.8, 3820, 3780.85, 3801, 1646747
2024-01-30T00:00:00+05:30, 3807.45, 3847.8, 3787, 3800.55, 1411621
2024-01-31T00:00:00+05:30, 3811.2, 3834, 3796.45, 3815.95, 2459358
2024-02-02T00:00:00+05:30, 3875.05, 3984.4, 3872, 3966.3, 2826510
2024-02-05T00:00:00+05:30, 3983, 4022, 3962.1, 3973.3, 1691523
2024-02-06T00:00:00+05:30, 3997, 4149.9, 3990, 4136, 4474396
2024-02-07T00:00:00+05:30, 4153, 4155, 4073.95, 4083.4, 2124267
2024-02-08T00:00:00+05:30, 4090, 4158, 4086.05, 4134.1, 2345173
2024-02-09T00:00:00+05:30, 4136.55, 4184.75, 4100, 4133.7, 2100596
2024-02-12T00:00:00+05:30, 4130, 4159.6, 4105.55, 4120.7, 1013716
2024-02-13T00:00:00+05:30, 4125.45, 4170, 4081.5, 4149.5, 1257415
2024-02-14T00:00:00+05:30, 4107, 4114.9, 4049.5, 4100.1, 1391283
2024-02-15T00:00:00+05:30, 4128, 4146.3, 4083, 4103.2, 1091582
2024-02-16T00:00:00+05:30, 4113.25, 4147.95, 4100.1, 4128.3, 1307556
2024-02-19T00:00:00+05:30, 4123.05, 4128.3, 4055, 4103.8, 772291
2024-02-20T00:00:00+05:30, 4082.1, 4098, 4010, 4030.65, 1193648
2024-02-21T00:00:00+05:30, 4013, 4063.35, 3980.6, 3991.5, 1885939
